Country,Place Name,Category,Neighbourhood / City,Description / Notes,Tags,Day,Lat,Lng
Korea,LiveAnywhere Loft,Accommodation,Jongno,Near Gwangjang Market. 1 week+ stays. Seoul studios + Jeju beach houses.,"shortterm,rental,1week+",Flexible,37.5697,126.9995
Korea,DNA Skin Clinic,Skincare,Gangnam,"Microneedling, RF, airjet treatments. English-speaking. Highly recommended.","clinic,skin,english",Day 7-8,37.5019,127.0262
Korea,Optima Wellness Museum Pharmacy,Skincare,Gangnam,Pharmacy heaven near Gangnam. Skincare treatments.,"pharmacy,skincare",Day 7,37.4979,127.0300
Korea,Seoulistique Skin,Skincare,Aeogae,Skin analysis + 8-step Astrodome facial. Book via Instagram DM.,"clinic,analysis,facial",Day 7-8,37.5499,126.9543
Korea,Abijou Myeongdong,Skincare,Myeongdong,Affordable skin clinic. Great for foreigners. Personal care.,"clinic,affordable",Day 2,37.5631,126.9828
Korea,Abijou Hongdae,Skincare,Hongdae,Less crowded Hongdae branch of Abijou.,"clinic,hongdae",Day 3-4,37.5553,126.9215
Korea,Joa Pilates (ear seeding),Skincare,Seoul,Ear seeding therapy. Book via Instagram DM.,"wellness,ear seeding",Flexible,37.5150,127.0350
Korea,NOMANUAL Flagship,Shopping,Seongsu,Elevated Korean streetwear. Top pick.,"streetwear,seongsu",Day 5-6,37.5435,127.0575
Korea,thisisneverthat Seongsu,Shopping,Seongsu,Best Korean streetwear brand — multiple sources agree.,"streetwear,seongsu,★",Day 5-6,37.5445,127.0565
Korea,Musinsa Standard Seongsu,Shopping,Seongsu,MUSINSA basics line flagship.,"musinsa,seongsu",Day 5-6,37.5440,127.0580
Korea,LOW CLASSIC Seongsu,Shopping,Seongsu,Minimalist Korean womenswear.,"minimalist,seongsu",Day 5-6,37.5450,127.0560
Korea,Beaker Seongsu,Shopping,Seongsu,Multi-brand select shop.,"multibrand,seongsu",Day 5-6,37.5438,127.0570
Korea,ÅLAND Hongdae,Shopping,Hongdae,Multi-brand concept store.,"multibrand,hongdae",Day 3-4,37.5560,126.9230
Korea,MUSINSA Hongdae,Shopping,Hongdae,Korean streetwear platform flagship.,"streetwear,musinsa,hongdae",Day 3-4,37.5557,126.9225
Korea,Citybreeze Seoul,Shopping,Hannam,Seoul lifestyle concept store.,"lifestyle,hannam",Day 5-6,37.5335,127.0007
Korea,Fucking Awesome Seoul,Shopping,Hannam,Skate / streetwear brand flagship.,"skate,streetwear,hannam",Day 5-6,37.5343,127.0013
Korea,Mardi Mercredi Hannam,Shopping,Hannam,Casual creative Korean fashion brand.,"fashion,hannam",Flexible,37.5338,127.0018
Korea,Granhand Perfumery,Shopping,Hanok Village,Custom perfumery. Name your bottle. Best Seoul souvenir.,"souvenir,perfume,custom",Day 7-8,37.5787,126.9850
Korea,Shinsegae Gangnam (5F & 8F),Shopping,Gangnam,15 Korean fashion brands locals shop. Floors 5 & 8. Skip Myeongdong.,"dept store,local brands",Day 7-8,37.5050,127.0049
Korea,Worksout Apgujeong,Shopping,Apgujeong,Streetwear store. Highly recommended.,"streetwear,apgujeong",Day 7-8,37.5280,127.0290
Korea,Révdou (Moon Croissant),Food,Seoul,Multi-layer vanilla tahiti cream croissant. Hottest croissant in Seoul.,"bakery,croissant",Flexible,37.5565,126.9247
Korea,The Truffle Bakery,Food,Seoul,Tissue bread — peel-apart crispy outside fluffy inside.,"bakery,bread",Flexible,37.5580,126.9800
Korea,Bijeonstrol Yeonhui Roastery,Food,Yeonhui,Seasonal toast with butter. Great with coffee.,"bakery,toast",Flexible,37.5692,126.9201
Korea,Amor Napoli,Food,Seoul,Fire-baked salt bread. Wood-fired. Crispy + chewy.,"bakery,salt bread",Flexible,37.5520,126.9220
Korea,Belief Coffee Roasters,Food,Seoul,Apple cream bread — sells out instantly. Check baking schedule.,"bakery,coffee",Flexible,37.5540,126.9250
Korea,Sokcho,DayTrip,Gangwon,Days 6-7. Gateway to Seoraksan National Park. Coastal city.,"itinerary,coastal",Day 10,38.2070,128.5918
Korea,Seoraksan National Park,DayTrip,Gangwon,Dramatic mountain scenery. Day trip or overnight.,"nature,mountain,hiking",Day 10,38.1194,128.4656
Korea,Gangneung,DayTrip,Gangwon,"Days 8-9. Beaches, historic homes. 2 hrs by KTX.","beach,historic,ktx",Day 11,37.7519,128.8760
Korea,Gyeongju,DayTrip,N. Gyeongsang,"Days 10-12. Ancient temples, royal tombs. Korea's ancient capital.","ancient,temples,history",Day 12-13,35.8561,129.2245
Korea,Busan,DayTrip,S. Gyeongsang,"Days 13-15. Seaside city, markets, beaches, parks.","beach,market,city",Day 10-11,35.1796,129.0756
Korea,Hwangnyeongsan Beacon,DayTrip,Busan,Best viewpoint in Busan. Take Uber up. Burning red sunset city lights.,"viewpoint,busan,sunset",Flexible,35.1535,129.0755
Korea,DMZ,DayTrip,Gyeonggi border,Demilitarized Zone tour. Book via Klook. Recommended last day.,"tour,history,klook",Day 13,37.9532,126.6612
Korea,Nami Island,DayTrip,Gyeonggi,Day trip bookable on Klook.,"daytrip,nature",Day 9 (day trip),37.7916,127.5244
Korea,Heyri Art Village,DayTrip,Gyeonggi,Half-day trip. Museums and Korean Folk Museum.,"art,museum,halfday",Day 9 (day trip),37.7660,126.7289
Korea,Jeju Island,DayTrip,Jeju,Dreamy beach houses via LiveAnywhere. Side trip option.,"beach,island",Flexible,33.4996,126.5312
Korea,The Air House Festival,Culture,Nami Island,"Eco-friendly house music festival in nature. May annually. 30+ friendly, kid/pet/vegan/foreigner-friendly. Sauna bus, yoga, live bands, disco aerobics, karaoke, camping. @the_airhouse","festival,music,30+,nami island",Flexible,37.7916,127.5244
Korea,Cimer at Paradise City,Skincare,Incheon,Foreigner & tattoo-friendly spa complex near Incheon Airport. 100% stress-free jjimjilbang experience. Great pre/post-flight.,"jjimjilbang,tattoo-friendly,incheon,spa",Flexible,37.4959,126.4876
Korea,숲속한방랜드 Forest Korean Bath,Skincare,Sinchon Seoul,Outdoor charcoal sauna near Sinchon. Search 찜질방 in Naver Maps for nearest.,"jjimjilbang,sauna,sinchon,outdoor",Flexible,37.5550,126.9374
Korea,아쿠아필드 Aquafield,Skincare,Goyang (suburban Seoul),Luxury jjimjilbang experience outside central Seoul. Worth the trip.,"jjimjilbang,luxury,suburban",Flexible,37.6650,126.7600
Korea,Reclow Myeongdong Flagship,Shopping,Myeongdong Seoul,"Trendy affordable accessories — folding sunglasses, bags, rain boots. Open daily 10:30–23:00. 12 Myeong-dong 8-na-gil.","accessories,sunglasses,bags,myeongdong,affordable",Day 2,37.5605,126.9850
Korea,Sam Sam Sam (쓰리쓰리쓰리),Food,Gwanghwamun Seoul,"American-style cozy bistro from Samcheong-dong, now in Gwanghwamun. Creative dishes only found in Korea. Naver: naver.me/Goivggyk","restaurant,bistro,gwanghwamun,creative",Flexible,37.5748,126.9769
Korea,Kyobo Book Centre (교보문고),Culture,Gwanghwamun Seoul,"Korea's largest bookstore. K-stationery, stickers, music, unique souvenirs. Easy to lose hours here.","bookstore,souvenir,stationery,gwanghwamun",Day 9,37.5710,126.9769
Korea,NYUNYU (뉴뉴),Shopping,Myeongdong Seoul,"Multi-story accessory heaven — thousands of earrings, necklaces, bags, hats at very affordable prices. Open late.","accessories,affordable,myeongdong,open late",Day 2,37.5628,126.9840
Korea,Manhwa-bang / Comic Café (놀숲 Nolsoop),Culture,Hongdae Seoul,"Private pods with curtains, blankets, pillows. Order ramyeon to your pod. ~₩3,000–4,000/hr. Nolsoop (놀숲) & Beoltoon (벌툰) are the main chains. Near subway stations city-wide.","hidden gem,comic cafe,pods,manhwabang,relax",Flexible,37.5560,126.9236
Korea,Yonghada Korean Medicine Clinic (용하다 한의원),Skincare,Myeongdong Seoul,"Myeongdong Station Exit 2. English/Japanese/Chinese/Spanish speaking. Cupping, acupuncture, ginseng injection, chuna therapy, facial lifting. Check-up ₩132,000. Healing Course C ₩242,000. @yonghadaclinic_en","clinic,acupuncture,cupping,ginseng,multilingual,myeongdong",Day 7-8,37.5608,126.9856
Korea,Rolling Jay Hair Salon,Accommodation,Seoul,"Celebrity-level hair stylist. @rollingjay_siwon__ (women) & @rollingjay_siwon__men. Book via DM, Kakao ID: ruddo462, or Naver. naver.me/F9N4yI6L","hair salon,celebrity stylist,beauty,book via kakao",Flexible,37.5500,126.9250
Korea,Vands Clinic Hongdae,Skincare,Hongdae Seoul,"Foreign-friendly clinic — rejuran, filler, botox. First stop for many on arrival. Also Myeongdong + Gangnam branches. @vands_myeongdong","clinic,rejuran,foreigner-friendly,hongdae",Day 3-4,37.5570,126.9220
Korea,Vands Clinic Myeongdong,Skincare,Myeongdong Seoul,Foreign-friendly injectable clinic. Popular 30s crowd. @vands_myeongdong | Gangnam: @vands_myeongdong_gangnam_eng,"clinic,filler,botox,myeongdong",Day 2,37.5608,126.9856
Korea,Eraser Clinic (Dr. Eraser),Skincare,Sinsa Gangnam Seoul,"Tune Liner — jawline contouring, no bruising, instant results. @dreraserclinic. Sinsa-dong Gangnam.","clinic,jawline,tune liner,gangnam",Day 7,37.5210,127.0220
Korea,Inko Seoul (잉코서울),Skincare,Seoul,FREE skin analysis before Olive Young shopping. Skin age + type + 6 characteristics + customised routine. @inkoseoul_official,"skin analysis,free,olive young,routine",Day 7-8,37.5665,126.9780
Korea,Jeil Grand Pharmacy (제일그랑약국),Skincare,Gangnam Seoul,Curated Korean pharmacy in Gangnam near clinics. @jeilgrand_pharmacy_global. Carries USOLAB + clinical skincare.,"pharmacy,gangnam,skincare",Day 7,37.5000,127.0250
Korea,Olive Young — Free Skin Analysis,Skincare,Myeongdong Seoul,Free in-store skin analysis. Measurements + skin type + 6 characteristics + customised routine. Multiple Seoul locations.,"skin analysis,free,olive young,myeongdong",Day 7-8,37.5631,126.9858
Korea,애리꼼닭발 (Aeri's Chicken Feet),Food,Wangsimni Seoul,"Viral spicy chicken feet. Wait ~1hr — grab ticket and come back. 📍3 Wangsimni-ro 22-gil, Doseon-dong, Seongdong-gu","restaurant,chicken feet,viral,local",Day 3-4,37.5597,127.0373
Korea,Rain Report Café,Food,Seoul,Concept café where it rains 24/7 inside. Cosy any season. @rain.report,"cafe,concept,rain,unique",Day 3-4,37.5630,126.9830
Korea,Korea Bakery World Cup Winner Bakery,Food,Daejeon,Bakery by Korea's Bakery World Cup team leader. Incredible textures and flavours. Day trip from Seoul.,"bakery,daejeon,world cup,day trip",Day 10 (day trip),36.3219,127.4194
Korea,Scooper Gelato,Food,Seoul,Top trending café on Korean social media. @scooper_gelato,"cafe,gelato,trending",Day 3-4,37.5500,127.0400
Korea,Pachamama Bakery,Food,Seoul,Trending café on Korean social media. @pachamama.bakery,"cafe,bakery,trending",Day 3-4,37.5540,126.9250
Korea,House of Vinyl Yeonhui,Food,Yeonhui Seoul,Trending café. @houseofvinyl_yeonhui — Yeonhui near Hongdae.,"cafe,vinyl,yeonhui,trending",Day 3-4,37.5692,126.9201
Korea,Crepeboy Seoul,Food,Seoul,Trending café. @crepeboyseoul,"cafe,crepe,trending",Day 3-4,37.5500,126.9220
Korea,Friends and Yard,Food,Seoul,Trending café. @friends.and.yard,"cafe,trending",Day 3-4,37.5560,126.9250
Korea,WAA Seoul,Food,Seongsu Seoul,Trending café on Korean social media. @waa.seoul,"cafe,trending,seongsu",Day 3-4,37.5450,127.0570
Korea,Roofcat Cat Café Hongdae,Culture,Hongdae Seoul,Cat café in Hongdae. Admission includes unlimited self-serve tea + coffee. @roofcatme_hongdae,"cat cafe,hongdae,unique",Flexible,37.5570,126.9240
Korea,Seoul Baseball (KBO League),Culture,Jamsil Seoul,"KBO baseball = full-on party. Beer, fried chicken, intense cheering. Nothing like it. DM @hungrypursuit 'SEOUL BASEBALL' for how to book.","baseball,kbo,party,jamsil,local",Day 2-3,37.5122,127.0719
Korea,Workshop by Baskin Robbins,Culture,Nonhyeon-ro Gangnam Seoul,"World's first AI ice cream shop + lab. Flavours: wasabi, Cheetos, truffle. 📍201 Nonhyeon-ro, Gangnam. @baskinrobbinskorea","ice cream,ai,gangnam,unique",Day 7-8,37.5185,127.0340
Korea,Jangsan Mountain Park (장산산림욕장),DayTrip,Busan,Very local park foreigners rarely visit. Walk or intense hike. Authentic Busan neighbourhood life.,"park,hiking,busan,local",Day 10-11,35.2100,129.1200
Korea,Discover Seoul Pass,Transport,Seoul,"Multi-attraction + transit pass. Code KAY-SEOULPASS for ₩5,000 discount.","pass,transit,discount,tip",Flexible,37.5700,126.9820
Korea,Lotte Hotel Seoul,Accommodation,Myeongdong Seoul,5-star hotel in Myeongdong. Great for first-timers. @lottehotelseoul,"hotel,5-star,myeongdong,luxury",Day 1-2,37.5637,126.9822
Korea,JW Marriott Jeju,Accommodation,Jeju Island,Luxury hotel on Jeju. @JWmarriotjeju,"hotel,luxury,jeju,marriott",Day 12-13,33.2540,126.4120
Korea,Eastern Medicine Hospital (한의원),Skincare,Seoul,"Traditional Korean medicine — cupping, herbal, acupuncture. Under $45/visit. Find via Naver Maps: 한의원","traditional medicine,cupping,acupuncture,affordable",Day 7-8,37.5560,126.9240
Korea,Hair of Seoul,Skincare,Seoul,Hair clinic/salon. Cheaper than Turkey. @hairofseoul — DM/Kakao/Instagram for bookings.,"hair,salon,affordable",Flexible,37.5500,126.9820
Korea,Park Jun Hair Salon (박준뷰티랩),Skincare,Seoul,15-step Korean hair spa. @parkjun2342 for booking.,"hair,salon,hair spa,luxury",Flexible,37.5560,126.9820
Korea,Glowny,Shopping,Hannam Seoul,Contemporary independent boutique in Hannam-dong.,"boutique,hannam,fashion",Day 5-6,37.5350,127.0010
Korea,Loeuvre (Hannam),Shopping,Hannam Seoul,Independent boutique in Hannam-dong.,"boutique,hannam",Day 5-6,37.5345,127.0015
Korea,Folnua,Shopping,Hannam Seoul,Independent boutique in Hannam-dong.,"boutique,hannam",Day 5-6,37.5340,127.0020
Korea,Muut,Shopping,Hannam Seoul,Independent boutique in Hannam-dong.,"boutique,hannam",Day 5-6,37.5345,127.0005
Korea,Roman & You Seongsu,Shopping,Seongsu Seoul,Roman&You makeup Pink Office pop-up in Seongsu. @romandyou — check if running.,"popup,seongsu,makeup",Day 5-6,37.5445,127.0560
Korea,Yonsei Pain Clinic,Skincare,Mapo Seoul,"@yonseian.painclinic — ANS test, X-ray, 3D AI posture, massage. Multiple creators for back/neck pain.","clinic,posture,back,neck",Day 7-8,37.5505,126.9250
Korea,신사형통정형외과 Sinsa Hyeong Tong,Skincare,Sinsa Gangnam,"X-ray, treadmill body scan, posture analysis, back/neck treatment. Annual visits by one creator.","clinic,back,posture,gangnam",Day 7,37.5248,127.0198
Korea,Stretch U Care,Skincare,Dogok Gangnam,"90-min full-body stretch. Completely resets you. @stretch_u_care_global. 📍408 510 Dogok-ro, Gangnam.","stretch,wellness,gangnam",Day 7,37.4967,127.0442
Korea,Medione Medical Global,Skincare,Gangnam Seoul,Full body MRI scan. @medione_medical_global.,"mri,medical tourism,full body",Day 7-8,37.5000,127.0350
Korea,Relieve Clinic,Skincare,Seoul,"Acne/breakout treatment. @relieve_clinic_ — 3rd visit, genuine use.","clinic,acne,breakout",Day 7-8,37.5580,126.9250
Korea,APM Place (에이피엠),Shopping,Dongdaemun Seoul,"8-storey wholesale clothing. Open until 5am. Vendors ignore foreigners on wholesale floors — use Mimiline or NYUNYU inside instead (foreigner-friendly, card OK, tax-free).","shopping,wholesale,5am,dongdaemun",Day 9 (evening),37.5668,127.0085
Korea,Tongin Market (통인시장),Food,Jongno Seoul,"Best street food. Coin-based tray system — exchange cash for coins, fill tray from multiple stalls. Solo-friendly. Near Gyeongbokgung.","market,streetfood,coins,jongno",Day 2,37.5793,126.9700
Korea,Cheongnyangni Market,Food,Cheongnyangni Seoul,"Packed with locals, zero tourist energy. Deliberately hard to find on Google. DM @cutthelandline 'seoul eats' for exact address.","market,local,hidden,authentic",Day 9,37.5804,127.0479
Korea,Chungmuro Neighbourhood,Neighbourhood,Jung-gu Seoul,"@dianainseoul recommends staying here. Between Myeongdong and Dongdaemun lines 3/4. Bustling, non-tourist, great transit hub.","neighbourhood,stay,transit,local",Day 1-2,37.5598,126.9973
Korea,Bibiang Fragrances,Shopping,Hongdae Seoul,"Korean niche fragrance. Colline, Gureum, Rondo24 — Rondo24 is a repeat-buy. @bibiang_official","fragrance,rondo24,korean",Day 5-6,37.5500,126.9220
Korea,Gentle Monster Flagship,Shopping,Apgujeong Seoul,Multi-storey Gentle Monster concept store. Art installation + eyewear experience.,"gentlemonster,flagship,art,eyewear",Flexible,37.5215,127.0266
Korea,GOTO Mall Hongdae (고투몰),Shopping,Hongdae Seoul,"Underground mall beneath Hongdae. Affordable fashion, open late.","underground,mall,hongdae,affordable",Day 3-4,37.5563,126.9236
Korea,Hyundai Seoul Department Store,Shopping,Yeouido Seoul,Curated Korean brands. Less touristy than Myeongdong stores.,"department store,yeouido,local brands",Day 6,37.5261,126.9269
Korea,Tamburins Seongsu,Shopping,Seongsu Seoul,Korean fragrance + beauty brand. 📍316-7 Seongsu-dong 2-ga Seongdong-gu Seoul,"tamburins,fragrance,seongsu",Flexible,37.5448,127.0566
Korea,Elorea,Shopping,Hannam Seoul,Korean niche fragrance. 📍737-1 Hannam-dong Yongsan-gu Seoul,"fragrance,hannam",Day 5-6,37.5335,127.0013
Korea,Youssoful Hannam,Shopping,Hannam Seoul,Korean niche fragrance boutique. 📍744-4 Hannam-dong Yongsan-gu Seoul,"fragrance,hannam",Day 5-6,37.5340,127.0025
Korea,Cosmic Mansion,Shopping,Jongno Seoul,Korean niche fragrance. 📍153-1 Changseong-dong Jongno-gu Seoul,"fragrance,jongno",Day 2,37.5793,126.9745
Korea,Nonfiction Seongsu,Shopping,Seongsu Seoul,Korean niche fragrance. 📍16-33 Seongsu-dong 1-ga Seongdong-gu Seoul,"fragrance,seongsu",Day 5-6,37.5440,127.0555
Korea,COMPILE,Culture,Hongdae Seoul,Nightlife venue. @01compile,"bar,nightlife,hongdae",Evenings,37.5578,126.9211
Korea,ZuhZuh (저저),Culture,Hongdae Seoul,Bar/nightlife. @zuhzuh.kr,"bar,nightlife,hongdae",Evenings,37.5560,126.9198
Korea,라스트춘선 홍대,Culture,Hongdae Seoul,Bar in Hongdae. @lastchunsun_hongdae,"bar,nightlife,hongdae",Day 4 (night),37.5555,126.9205
Korea,Bar Eum,Culture,Hongdae Seoul,Bar/music venue. @ongroundmusicbar,"bar,music,nightlife",Evenings,37.5560,126.9215
Korea,HIGHWAY Men's Hair,Skincare,Hongdae Seoul,Men's hair salon. @highway_menshair,"hair,salon,men,hongdae",Flexible,37.5558,126.9222
Korea,Buramsan Mountain (불암산),DayTrip,Nowon Seoul,Best sunset viewpoint in Seoul per a Korean local. 40min hike. 📍Deokneung-ro 94-gil 73. Transit: Sanggye Station Exit 1.,"hiking,sunset,viewpoint,local,nature",Day 8,37.6580,127.0980
Korea,Body + Color Analysis,Culture,Gangnam Seoul,"Personal style analysis — body type, color season, what collar/cut suits you. Book via Gangnam stylists/clinics.","style,color analysis,body type,personal",Day 7-8,37.5260,127.0280
Korea,Gyeongdong Market,Culture,Jongno Seoul,"Walking tour with local guide @wookeunshin. Authentic neighbourhood market, Korean BBQ, real Seoul history. Much less touristy than Gwangjang.","market,tour,bbq,local guide,history",Flexible,37.5740,127.0230
Korea,Spa Gogyeol (스파고결),Skincare,Seoul,"Korean lymphatic drainage facial — they absolutely snatch you up here. Immediate, intense results.","spa,facial,lymphatic drainage,skincare",Flexible,37.5665,126.9780
Korea,Yonsei AN Pain Clinic,Skincare,Seoul,Non-skincare health assessment — full body wellness evaluation. Worth doing if interested in Korean medical tourism beyond aesthetics.,"medical,health,wellness,clinic",Flexible,37.5575,126.9368
Korea,Seoul Menswear Spots (@rogerwh0),Shopping,Seoul,Best men's clothing spots in Seoul — includes Llege Official. Strong list from a creator who goes twice a year.,"menswear,fashion,shopping,korean brands",Flexible,37.5563,126.9236
Korea,Salt Bread — Jayeondo Sogeumppang,Food,Seoul,"The original salt bread — buttery and crisp, nothing like the name implies. Will ruin you for other bread.","bread,bakery,must eat,salt bread",Flexible,37.5665,126.9780
Korea,National Museum of Korea,Culture,Yongsan Seoul,"Free entry, world-class collection. Top 9 treasures worth seeing. Underrated by tourists who skip for palaces.","museum,history,free,culture",Day 5,37.5235,126.9801
Korea,Alpaca World,DayTrip,Gangwon-do,Magical afternoon with alpacas in Gangwon-do. Perfect escape from Seoul in a mountain setting.,"alpacas,day trip,nature,gangwon",Flexible,37.7318,127.7195
Korea,Gangnam Kyoja (강남교자),Food,Gangnam Seoul,Perennial favourite revisited twice a year. Known for kalguksu and mandu. Always worth the wait.,"noodles,mandu,gangnam,local favourite",Flexible,37.5048,127.0245
Korea,Ttareungyi Seoul Public Bike,Transport,Seoul,"Seoul public bike — 'Seoul Bike' app, ~₩1,000 per rental, international cards OK. 1-hour hack: return within the hour for flat rate.","bike,transport,cheap,tip",Flexible,37.5665,126.9780
Korea,Eunpyeong Hanok Village,Culture,Eunpyeong Seoul,"Free premium hanbok rental (1.5hrs) at Neonadeuri Center — skip expensive Bukchon rentals. Hidden, far less crowded. Walk-in works.","hanbok,hanok,hidden,local tip",Day 9,37.6355,126.9326
Korea,Namsan Sky Forest Trail,DayTrip,Namsan Seoul,"Easy paved trail to N Seoul Tower — bus takes you to the start. Great for dates, solo runs, families. Go in the morning.","hiking,namsan,trail,nature",Flexible,37.5513,126.9882
Korea,Discover Seoul Pass,Transport,Seoul,"Best tourism pass for Seoul. Code SYLVIA-SEOULPASS for ₩5,000 off. Covers major attractions and transport.","pass,tip,transport,discount",Day 1,37.5665,126.9780
Korea,Vinyl Bar Circuit — Seoul,Culture,Seoul,"Bars playing vinyl records or scheduled DJs: Silly Aperitivo, Osem Seoul, Culsec Seoul, Nega Iso, Hills and Europa, FFF Samgakji.","vinyl,bars,music,nightlife",Evenings,37.5665,126.9780
Korea,Noryangjin Fish Market,Food,Noryangjin Seoul,Better than Gwangjang according to locals — crispy fried peppers and fresh seafood you will still be thinking about.,"fish market,seafood,noryangjin,local tip",Flexible,37.5138,126.9413
Korea,Bukhansan Mountain Hike,DayTrip,Bukhansan Seoul,Challenging hike with stunning views over Seoul. Budget a full day. One of the best outdoor experiences within the city limits.,"hiking,bukhansan,nature,day trip",Flexible,37.6592,126.9772
Korea,Unni Guide Clinic Center,Skincare,Gangnam Seoul,Korean-local pricing guaranteed (4M+ reviews via Unni app). Free Anua gift set when booking ahead. 498 Gangnam-daero.,"clinic,skincare,gangnam,medical tourism,local pricing",Flexible,37.5004,127.0246
Korea,Jeju Island,DayTrip,Jeju,"The Hawaii of Korea — volcanic landscapes, citrus orchards, black sand beaches. Stay in Aewol (west/sunset) or Hallim (beach). Seongsan sunrise, Hallasan hike, Udo Island day trip.","jeju,island,nature,day trip,hiking",Flexible,33.4996,126.5312
Korea,AREX All-Stop Train — Incheon,Transport,Incheon,"Take the All-Stop (not Express): 66 min, ₩4,950, stops at Hongdae where most travelers stay. Express is 43 min to Seoul Station only.","airport,transport,arex,tip,incheon",Day 1,37.4562,126.7052
Korea,Hwangnyeong-san Lookout — Busan,DayTrip,Busan,"Best single thing to do in Busan — Hwangnyeongsan Beacon (황령산 봉수대). Uber most of the way up, short walk to the lookout. ★ Top pick.","busan,hiking,viewpoint,★ top pick",Flexible,35.1410,129.0498
Korea,Gonlun Mountain Hang Gliding — Pohang,DayTrip,Pohang,Gollyunsan Mountain hang gliding site. Unique activity outside the Seoul/Busan circuit.,"pohang,hang gliding,adventure,day trip",Flexible,36.1022,129.3868
Korea,Seoul Medical Tourism Circuit,Skincare,Gangnam Seoul,"Full cost breakdown with no gatekeeping: Yonsei AN Pain Clinic, Medione Full Body MRI Scan, V&S Clinic Global (Rejuran, Juvelook, Thermage).","medical tourism,rejuran,thermage,gangnam,skincare",Flexible,37.5004,127.0246
Korea,ACME DE LA VIE Seongsu Showroom,Shopping,Seongsu,Premium Korean streetwear showroom,seongsu,Day 5-6,37.5447,127.0558
Korea,AREX Train — Incheon to Seoul,Transport,Incheon,"Two trains from airport: Express (43 min, ₩11,000, Seoul Station only) vs All-Stop (66 min, ₩4,950, stops at Hongdae). Most solo travelers should take the All-Stop to Hongdae.",,Day 1,37.4562,126.7052
Korea,Abijou Hongdae Branch,Skincare,Hongdae,Less crowded than Myeongdong branch; less personal but still good service,hongdae,Day 3-4,37.5559,126.9231
Korea,Abijou Myeongdong Branch (명동점),Skincare,Myeongdong,Affordable skin clinic; great for foreigners; busy but personal care; also has Hongdae branch,,Day 2,37.5631,126.9858
Korea,Amor Napoli (아모르나폴리),Food,Seoul,Fire-baked salt bread (화덕 소금빵); crispy outside chewy inside; wood-fired,,Flexible,37.5665,126.978
Korea,Apgujeong (압구정),Neighbourhood,Seoul,Worksout streetwear store located here (mentioned in comments),,Day 7-8,37.527,127.0286
Korea,Archive PKE,Shopping,Shinsegae Gangnam 5F,Street casual Korean brand,gangnam,Day 7-8,37.4979,127.0276
